[HUMEDAD] | Valor: 44.2
[TEMPERATURA] | Valor: 26.4
[PRESION] | Valor: 975.8
[TEMPERATURA] | Valor: 26.1
[PRESION] | Valor: 1046.6
[TEMPERATURA] | Valor: 23.6
[HUMEDAD] | Valor: 39.3
[TEMPERATURA] | Valor: 15.8
[PRESION] | Valor: 1037.7
[TEMPERATURA] | Valor: 13.6
[HUMEDAD] | Valor: 1.5
[PRESION] | Valor: 1025.1
[TEMPERATURA] | Valor: 26.3
[TEMPERATURA] | Valor: 22.5
[PRESION] | Valor: 999.5
[TEMPERATURA] | Valor: 14.1
[HUMEDAD] | Valor: 3.5
[PRESION] | Valor: 964.0
[TEMPERATURA] | Valor: 21.3
[TEMPERATURA] | Valor: 32.2
[HUMEDAD] | Valor: 90.9
[PRESION] | Valor: 971.4
[TEMPERATURA] | Valor: 36.3
[TEMPERATURA] | Valor: 33.8
[PRESION] | Valor: 984.9
[HUMEDAD] | Valor: 28.6
[TEMPERATURA] | Valor: 31.3
[PRESION] | Valor: 973.2
[TEMPERATURA] | Valor: 22.3
[TEMPERATURA] | Valor: 32.4
[HUMEDAD] | Valor: 43.7
[PRESION] | Valor: 1025.6
[TEMPERATURA] | Valor: 11.2
[PRESION] | Valor: 970.5
[TEMPERATURA] | Valor: 32.2
[HUMEDAD] | Valor: 18.0
[TEMPERATURA] | Valor: 29.4
[PRESION] | Valor: 950.9
[TEMPERATURA] | Valor: 32.6
[HUMEDAD] | Valor: 52.7
[TEMPERATURA] | Valor: 23.8
[PRESION] | Valor: 1033.8
[TEMPERATURA] | Valor: 24.4
[PRESION] | Valor: 1016.4
[TEMPERATURA] | Valor: 40.0
[HUMEDAD] | Valor: 81.5
[TEMPERATURA] | Valor: 18.4
[PRESION] | Valor: 1016.8
[TEMPERATURA] | Valor: 29.7
[HUMEDAD] | Valor: 64.1
[PRESION] | Valor: 1025.9
[TEMPERATURA] | Valor: 23.4
[TEMPERATURA] | Valor: 16.8
[PRESION] | Valor: 1010.2
[TEMPERATURA] | Valor: 14.1
[HUMEDAD] | Valor: 2.7
[TEMPERATURA] | Valor: 22.9
[PRESION] | Valor: 981.2
[TEMPERATURA] | Valor: 19.3
[HUMEDAD] | Valor: 54.1
[PRESION] | Valor: 1045.0
[TEMPERATURA] | Valor: 15.4
[TEMPERATURA] | Valor: 37.6
[PRESION] | Valor: 1012.1
[HUMEDAD] | Valor: 99.6
[TEMPERATURA] | Valor: 35.7
[PRESION] | Valor: 1048.4
[TEMPERATURA] | Valor: 22.6
[TEMPERATURA] | Valor: 24.4
[HUMEDAD] | Valor: 49.8
[PRESION] | Valor: 1005.8
[TEMPERATURA] | Valor: 10.1
[TEMPERATURA] | Valor: 32.2
[PRESION] | Valor: 995.6
[HUMEDAD] | Valor: 91.6
[TEMPERATURA] | Valor: 23.8
[PRESION] | Valor: 1002.5
[TEMPERATURA] | Valor: 30.2
[TEMPERATURA] | Valor: 23.6
[HUMEDAD] | Valor: 13.8
[PRESION] | Valor: 1005.6
[TEMPERATURA] | Valor: 17.2
[PRESION] | Valor: 994.1
[TEMPERATURA] | Valor: 29.9
[HUMEDAD] | Valor: 87.1
[TEMPERATURA] | Valor: 16.9
[PRESION] | Valor: 1034.8
